metric,definition,estimate,threshold,threshold_relation,n_pairs,primary_cluster_unit,n_primary_clusters,primary_ci_low,primary_ci_high,primary_p_two_sided_sign_tail,primary_ci_excludes_zero,component_cluster_unit,n_connected_components,component_ci_low,component_ci_high,component_p_two_sided_sign_tail,component_ci_excludes_zero,metric_pass,criterion_a_pass,decision_role
iou_weakness,mean_pair(control_mean_iou-primary_mean_iou),0.1369987845343785,0.050000000000000003,>=,12,primary_sequence,11,0.0018879570501517985,0.31711689812694338,0.047395260473952608,true,connected_source_component,9,-0.013529223122019495,0.30737385877685958,0.085791420857914205,false,true,true,PRIMARY_COMPLETE_SET
failure_weakness,mean_pair(primary_failure_rate-control_failure_rate); failure=iou<0.5,0.15333333333333335,0.10000000000000001,>=,12,primary_sequence,11,-0.029999999999999999,0.41818181818181815,0.17218278172182783,false,connected_source_component,9,-0.036363636363636362,0.38400000000000001,0.21297870212978703,false,false,true,PRIMARY_COMPLETE_SET
