group_type,group_value,row_count,positive_labels,negative_labels,positive_base_rate,frozen_predictor_auroc,frozen_predictor_brier,constant_comparator_brier,brier_improvement,mean_oracle_skip_benefit,mean_baseline_iou,mean_physical_skip_iou,physical_whole_mrm1_interaction,descriptive_only
complete_set,ALL,326,161,165,0.4938650306748466,0.48153585544889893,0.2575449361739645,0.24996241633654945,-0.007582519837415064,-0.006360042507885561,0.6966660323287523,0.6903059898208668,-0.006360042507885561,true
side,control,163,82,81,0.5030674846625767,0.5959048479373683,0.24629446006186792,0.25007104564163235,0.00377658557976443,0.0026953471981632743,0.7523712307395483,0.7550665779377115,0.0026953471981632743,true
side,primary,163,79,84,0.48466257668711654,0.3795961422543701,0.26879541228606113,0.24985378703146668,-0.018941625254594446,-0.01541543221393439,0.6409608339179564,0.625545401704022,-0.01541543221393439,true
ambiguity_level,1,132,76,56,0.5757575757575758,0.41470864661654133,0.25539324034354705,0.25092910742521574,-0.004464132918331309,0.011935033670012415,0.7006239654651706,0.7125589991351831,0.011935033670012415,true
ambiguity_level,2,194,85,109,0.4381443298969072,0.44954128440366975,0.25900897663589806,0.2493046677607559,-0.009704308875142148,-0.01880823867016666,0.6939730056586121,0.6751647669884454,-0.01880823867016666,true
sequence_relation,CROSS_SEQUENCE,122,58,64,0.47540983606557374,0.44908405172413796,0.2520434970667866,0.24974456412362384,-0.002298932943162746,-0.01410702623044427,0.76512611081785,0.7510190845874057,-0.01410702623044427,true
sequence_relation,SAME_SEQUENCE,204,103,101,0.5049019607843137,0.4847640103816207,0.26083501250276697,0.25009270050310306,-0.010742311999663912,-0.0017270424385122157,0.6557242206833116,0.6539971782447994,-0.0017270424385122157,true
broad_superclass,FACE_HEAD,60,26,34,0.43333333333333335,0.3382352941176471,0.2605170640632534,0.24924787690756028,-0.011269187155693139,-0.04242007247284144,0.7758953420518442,0.7334752695790028,-0.04242007247284144,true
broad_superclass,PERSON,160,84,76,0.525,0.44971804511278196,0.2619144970420874,0.250329945485413,-0.011584551556674427,0.003864474705465718,0.6483058752746792,0.652170349980145,0.003864474705465718,true
broad_superclass,VEHICLE,106,51,55,0.4811320754716981,0.542602495543672,0.24926703605833242,0.24981211163769276,0.0005450755793603435,-0.0013819383214596344,0.7248157167180562,0.7234337783965965,-0.0013819383214596344,true
sensitivity_stratum,CROSS_SCENE_ACTIVITY,50,27,23,0.54,0.4251207729468599,0.25484314066862496,0.250507011252698,-0.004336129415926981,0.0015764700865501214,0.7898778266162888,0.7914542967028391,0.0015764700865501214,true
sensitivity_stratum,CROWD_CLUTTER_VS_CLEAN,22,7,15,0.3181818181818182,0.3238095238095238,0.2681285628894096,0.2478885841486048,-0.020239978740804826,-0.08418401676907883,0.7560638396678627,0.6718798228987839,-0.08418401676907883,true
sensitivity_stratum,GRAYSCALE_COLOR_DOMAIN,50,24,26,0.48,0.5753205128205128,0.24216642450299422,0.24979874818355804,0.007632323680563824,0.0010433532895605512,0.7443617943254054,0.7454051476149662,0.0010433532895605512,true
sensitivity_stratum,STRONG_SAME_SEQUENCE,204,103,101,0.5049019607843137,0.4847640103816207,0.26083501250276697,0.25009270050310306,-0.010742311999663912,-0.0017270424385122157,0.6557242206833116,0.6539971782447994,-0.0017270424385122157,true
pair_id,R3-H01,10,9,1,0.9,0.2222222222222222,0.30048981759582594,0.2547565896675378,-0.045733227928288156,0.16706003482942117,0.5705789688585433,0.7376390036879644,0.16706003482942117,true
pair_id,R3-H02,50,24,26,0.48,0.5753205128205128,0.24216642450299422,0.24979874818355804,0.007632323680563824,0.0010433532895605512,0.7443617943254054,0.7454051476149662,0.0010433532895605512,true
pair_id,R3-H03,22,7,15,0.3181818181818182,0.3238095238095238,0.2681285628894096,0.2478885841486048,-0.020239978740804826,-0.08418401676907883,0.7560638396678627,0.6718798228987839,-0.08418401676907883,true
pair_id,R3-H04,38,19,19,0.5,0.37950138504155123,0.2561104068481103,0.25003483587327135,-0.006075570974838962,-0.018240946827651382,0.7873767381688862,0.7691357913412347,-0.018240946827651382,true
pair_id,R3-H05,50,15,35,0.3,0.38476190476190475,0.28186480369905575,0.24767395897613814,-0.03419084472291761,-0.05618313720973716,0.5575996215047827,0.5014164842950456,-0.05618313720973716,true
pair_id,R3-H06,50,33,17,0.66,0.5240641711229946,0.24132048264783396,0.25192353739097795,0.010603054743143991,0.03356097921479312,0.6129855589861931,0.6465465382009862,0.03356097921479312,true
pair_id,R3-H07,50,27,23,0.54,0.4251207729468599,0.25484314066862496,0.250507011252698,-0.004336129415926981,0.0015764700865501214,0.7898778266162888,0.7914542967028391,0.0015764700865501214,true
pair_id,R3-H08,56,27,29,0.48214285714285715,0.49936143039591313,0.2556068678041702,0.24982404329317018,-0.005782824511000012,-0.0035473772598705144,0.7073638617114943,0.7038164844516237,-0.0035473772598705144,true
pair_side,R3-H01:control,5,5,0,1.0,,0.3544418814037523,0.2559370281161044,-0.09850485328764791,0.08888859554114059,0.688138463312506,0.7770270588536466,0.08888859554114059,true
pair_side,R3-H01:primary,5,4,1,0.8,0.5,0.24653775378789952,0.2535761512189712,0.00703839743107168,0.24523147411770174,0.4530194744045805,0.6982509485222822,0.24523147411770174,true
pair_side,R3-H02:control,25,10,15,0.4,0.6066666666666667,0.23305648983363875,0.24885439742470475,0.015797907591066,-0.004267187093944087,0.6737952262135739,0.6695280391196299,-0.004267187093944087,true
