test_order,mode,mrm_members,pair_id,primary_sequence,control_sequence,broad_superclass,final_ambiguity_level,sensitivity_stratum,contribution_distractor,contribution_control,interaction
4,mrm4,4,R3-D03,Liquor,Liquor,OBJECT_OTHER,2,STRONG_SAME_SEQUENCE,-0.03902987688027628,-0.027077139424499189,-0.011952737455777091
4,mrm4,4,R3-D04,Liquor,Liquor,OBJECT_OTHER,2,STRONG_SAME_SEQUENCE,-0.046144071151361529,-0.026049621999619844,-0.020094449151741686
4,mrm4,4,R3-D05,Car4,Car4,VEHICLE,1,COLOR_DIFFERENCE,-0.0044244528949895657,0.019195140545677419,-0.023619593440666983
4,mrm4,4,R3-D06,Jogging_1,Human8,PERSON,2,CROSS_SCENE_ACTIVITY,0.0048327328270364256,0.011605757783478533,-0.0067730249564421077
4,mrm4,4,R3-D07,Shaking,David2,FACE_HEAD,1,APPEARANCE_DIFFERENCE,0.091849105272944834,-0.0058502493453259415,0.09769935461827077
4,mrm4,4,R3-D08,CarDark,CarScale,VEHICLE,1,LOW_LIGHT_MULTI_TRAFFIC,-6.0106905940093827e-05,0.010112767887476219,-0.010172874793416314
4,mrm4,4,R3-D09,Skating1,Human7,PERSON,1,CROSS_SCENE_ACTIVITY,0.0096152159179386087,0.0013549128815271416,0.0082603030364114677
4,mrm4,4,R3-D10,Subway,Woman,PERSON,1,CONTROL_PARTIAL_OCCLUSION,0.00073465977237858744,-0.019871655732997259,0.020606315505375845
4,mrm4,4,R3-D11,Freeman3,David2,FACE_HEAD,1,MULTI_FACE_BACKGROUND,-0.021365916192497347,-0.0035844804604241707,-0.017781435732073175
4,mrm4,4,R3-D12,Singer1,Dancer,PERSON,1,COSTUME_DIFFERENCE_CLASS_RESOLVED_PERSON,-0.0060842951098291744,0.023824716165493132,-0.029909011275322306
5,mrm5,5,R3-D01,Basketball,David3,PERSON,2,CROSS_SCENE_ACTIVITY,-0.12664043669027583,0.2959691773850267,-0.42260961407530251
5,mrm5,5,R3-D02,Bolt,Human8,PERSON,1,CROSS_SCENE_ACTIVITY,0,0.12518401823868366,-0.12518401823868366
5,mrm5,5,R3-D03,Liquor,Liquor,OBJECT_OTHER,2,STRONG_SAME_SEQUENCE,0.087736676296593916,0.098553334060465653,-0.010816657763871737
5,mrm5,5,R3-D04,Liquor,Liquor,OBJECT_OTHER,2,STRONG_SAME_SEQUENCE,0.094267152929259121,0.085102899761479292,0.0091642531677798289
5,mrm5,5,R3-D05,Car4,Car4,VEHICLE,1,COLOR_DIFFERENCE,0.072080010341509501,0.12499832672523085,-0.052918316383721353
5,mrm5,5,R3-D06,Jogging_1,Human8,PERSON,2,CROSS_SCENE_ACTIVITY,0.083677133226225942,0.22075209039400701,-0.13707495716778106
5,mrm5,5,R3-D07,Shaking,David2,FACE_HEAD,1,APPEARANCE_DIFFERENCE,0.16414173238204402,0.5250345873573945,-0.36089285497535051
5,mrm5,5,R3-D08,CarDark,CarScale,VEHICLE,1,LOW_LIGHT_MULTI_TRAFFIC,0.08175981790272191,0.15840176699883141,-0.076641949096109496
5,mrm5,5,R3-D09,Skating1,Human7,PERSON,1,CROSS_SCENE_ACTIVITY,0.42555806517620004,0.087124901584451686,0.33843316359174835
5,mrm5,5,R3-D10,Subway,Woman,PERSON,1,CONTROL_PARTIAL_OCCLUSION,0.19412269141358329,0.038240331893070738,0.15588235952051255
5,mrm5,5,R3-D11,Freeman3,David2,FACE_HEAD,1,MULTI_FACE_BACKGROUND,0.30005059301853637,0.34719784558777689,-0.047147252569240516
5,mrm5,5,R3-D12,Singer1,Dancer,PERSON,1,COSTUME_DIFFERENCE_CLASS_RESOLVED_PERSON,0.17691844430170892,0.25810261582252231,-0.081184171520813392
6,mrm6,6,R3-D01,Basketball,David3,PERSON,2,CROSS_SCENE_ACTIVITY,-0.35220388536705383,0.05729390108334767,-0.40949778645040147
6,mrm6,6,R3-D02,Bolt,Human8,PERSON,1,CROSS_SCENE_ACTIVITY,0,-0.0034091883065574826,0.0034091883065574826
6,mrm6,6,R3-D03,Liquor,Liquor,OBJECT_OTHER,2,STRONG_SAME_SEQUENCE,0.064677764078257011,0.043536121482292557,0.021141642595964454
6,mrm6,6,R3-D04,Liquor,Liquor,OBJECT_OTHER,2,STRONG_SAME_SEQUENCE,0.0085840855044100189,0.041316385051313347,-0.032732299546903328
6,mrm6,6,R3-D05,Car4,Car4,VEHICLE,1,COLOR_DIFFERENCE,-0.0043411996879037136,0.0066393736708519448,-0.010980573358755658
6,mrm6,6,R3-D06,Jogging_1,Human8,PERSON,2,CROSS_SCENE_ACTIVITY,-0.014406194223502575,0.034750776882907994,-0.049156971106410569
6,mrm6,6,R3-D07,Shaking,David2,FACE_HEAD,1,APPEARANCE_DIFFERENCE,0.006837140209912107,0.042052307820528906,-0.035215167610616799
6,mrm6,6,R3-D08,CarDark,CarScale,VEHICLE,1,LOW_LIGHT_MULTI_TRAFFIC,0.0056551344311719463,0.0048422792161447424,0.00081285521502720386
6,mrm6,6,R3-D09,Skating1,Human7,PERSON,1,CROSS_SCENE_ACTIVITY,0.0012863824947322256,0.020141341648881546,-0.018854959154149319
6,mrm6,6,R3-D10,Subway,Woman,PERSON,1,CONTROL_PARTIAL_OCCLUSION,0.065072721869127603,0.02316159691053794,0.04191112495858966
6,mrm6,6,R3-D11,Freeman3,David2,FACE_HEAD,1,MULTI_FACE_BACKGROUND,-0.0011595739514770954,0.013386502866216921,-0.014546076817694016
6,mrm6,6,R3-D12,Singer1,Dancer,PERSON,1,COSTUME_DIFFERENCE_CLASS_RESOLVED_PERSON,0.23253416643185609,0.0090210236145108029,0.2235131428173453
7,early,1;2,R3-D01,Basketball,David3,PERSON,2,CROSS_SCENE_ACTIVITY,-0.15774280916036298,-0.010255174978568017,-0.14748763418179497
7,early,1;2,R3-D02,Bolt,Human8,PERSON,1,CROSS_SCENE_ACTIVITY,0,0.0044915148010179371,-0.0044915148010179371
7,early,1;2,R3-D03,Liquor,Liquor,OBJECT_OTHER,2,STRONG_SAME_SEQUENCE,-0.0040679083902950544,-0.0090543656853285266,0.0049864572950334722
7,early,1;2,R3-D04,Liquor,Liquor,OBJECT_OTHER,2,STRONG_SAME_SEQUENCE,-0.016361982795285557,0.00043800729653990176,-0.016799990091825458
7,early,1;2,R3-D05,Car4,Car4,VEHICLE,1,COLOR_DIFFERENCE,0.012790546269387325,0.011045175731983181,0.0017453705374041433
7,early,1;2,R3-D06,Jogging_1,Human8,PERSON,2,CROSS_SCENE_ACTIVITY,-0.0035182361427587216,0.020050674114073585,-0.023568910256832307
7,early,1;2,R3-D07,Shaking,David2,FACE_HEAD,1,APPEARANCE_DIFFERENCE,-0.0059722831998817805,0.011439050363478582,-0.017411333563360363
7,early,1;2,R3-D08,CarDark,CarScale,VEHICLE,1,LOW_LIGHT_MULTI_TRAFFIC,0.0062267476686656397,-0.010675073004640491,0.016901820673306131
7,early,1;2,R3-D09,Skating1,Human7,PERSON,1,CROSS_SCENE_ACTIVITY,0.09984847800256183,-0.00076926152321318939,0.10061773952577502
7,early,1;2,R3-D10,Subway,Woman,PERSON,1,CONTROL_PARTIAL_OCCLUSION,-0.010197417447364576,-0.00405279597886757,-0.0061446214684970062
7,early,1;2,R3-D11,Freeman3,David2,FACE_HEAD,1,MULTI_FACE_BACKGROUND,0.00489788572243143,0.0048849876345430721,1.2898087888357952e-05
7,early,1;2,R3-D12,Singer1,Dancer,PERSON,1,COSTUME_DIFFERENCE_CLASS_RESOLVED_PERSON,-0.0061974357720316585,0.018014904970973026,-0.024212340743004684
8,middle,3;4,R3-D01,Basketball,David3,PERSON,2,CROSS_SCENE_ACTIVITY,-0.2208679570181834,0.035070659201559364,-0.25593861621974279
8,middle,3;4,R3-D02,Bolt,Human8,PERSON,1,CROSS_SCENE_ACTIVITY,0,0.011462801547721349,-0.011462801547721349
8,middle,3;4,R3-D03,Liquor,Liquor,OBJECT_OTHER,2,STRONG_SAME_SEQUENCE,-0.047135351342526367,-0.033576773592673727,-0.013558577749852641
8,middle,3;4,R3-D04,Liquor,Liquor,OBJECT_OTHER,2,STRONG_SAME_SEQUENCE,-0.054804067613039409,-0.035256726370020634,-0.019547341243018775
8,middle,3;4,R3-D05,Car4,Car4,VEHICLE,1,COLOR_DIFFERENCE,0.0046746896902691007,0.018261378143996577,-0.013586688453727475
8,middle,3;4,R3-D06,Jogging_1,Human8,PERSON,2,CROSS_SCENE_ACTIVITY,0.0075478425371447114,0.0043055939683166768,0.0032422485688280347
8,middle,3;4,R3-D07,Shaking,David2,FACE_HEAD,1,APPEARANCE_DIFFERENCE,0.089308077752726436,0.00020930277426369769,0.089098774978462733
8,middle,3;4,R3-D08,CarDark,CarScale,VEHICLE,1,LOW_LIGHT_MULTI_TRAFFIC,0.020064397442285928,0.041796035215911992,-0.021731637773626064
8,middle,3;4,R3-D09,Skating1,Human7,PERSON,1,CROSS_SCENE_ACTIVITY,0.028391104054595315,0.00089159024840384409,0.027499513806191471
8,middle,3;4,R3-D10,Subway,Woman,PERSON,1,CONTROL_PARTIAL_OCCLUSION,0.14418857315331526,-0.011719644916672038,0.15590821806998731
8,middle,3;4,R3-D11,Freeman3,David2,FACE_HEAD,1,MULTI_FACE_BACKGROUND,-0.049577098484686971,-0.036546130456849443,-0.013030968027837528
8,middle,3;4,R3-D12,Singer1,Dancer,PERSON,1,COSTUME_DIFFERENCE_CLASS_RESOLVED_PERSON,0.011030767297030359,0.032859392314633432,-0.021828625017603073
9,late,5;6,R3-D01,Basketball,David3,PERSON,2,CROSS_SCENE_ACTIVITY,0.012431896768810886,0.67058508619016066,-0.65815318942134982
9,late,5;6,R3-D02,Bolt,Human8,PERSON,1,CROSS_SCENE_ACTIVITY,-0.060679431220404624,0.44926534388224937,-0.50994477510265401
9,late,5;6,R3-D03,Liquor,Liquor,OBJECT_OTHER,2,STRONG_SAME_SEQUENCE,0.3449341712167317,0.2941696808212716,0.050764490395460105
9,late,5;6,R3-D04,Liquor,Liquor,OBJECT_OTHER,2,STRONG_SAME_SEQUENCE,0.49588648256642015,0.29814521767882096,0.19774126488759919
9,late,5;6,R3-D05,Car4,Car4,VEHICLE,1,COLOR_DIFFERENCE,0.062755947494389203,0.13823910909822593,-0.075483161603836724
9,late,5;6,R3-D06,Jogging_1,Human8,PERSON,2,CROSS_SCENE_ACTIVITY,0.374135541218794,0.4897716980851427,-0.1156361568663487
9,late,5;6,R3-D07,Shaking,David2,FACE_HEAD,1,APPEARANCE_DIFFERENCE,0.52375654608965017,0.54560065175513706,-0.02184410566548689
9,late,5;6,R3-D08,CarDark,CarScale,VEHICLE,1,LOW_LIGHT_MULTI_TRAFFIC,0.69079871052814079,0.33304675864857408,0.35775195187956671
9,late,5;6,R3-D09,Skating1,Human7,PERSON,1,CROSS_SCENE_ACTIVITY,0.56160831173818915,0.36668986835145645,0.1949184433867327
9,late,5;6,R3-D10,Subway,Woman,PERSON,1,CONTROL_PARTIAL_OCCLUSION,0.4253006479361392,0.47909033545385654,-0.053789687517717344
9,late,5;6,R3-D11,Freeman3,David2,FACE_HEAD,1,MULTI_FACE_BACKGROUND,0.15616176172602464,0.46574620102731168,-0.30958443930128704
9,late,5;6,R3-D12,Singer1,Dancer,PERSON,1,COSTUME_DIFFERENCE_CLASS_RESOLVED_PERSON,0.35795228360600784,0.40166789412827392,-0.04371561052226608
