test_order,mode,mrm_members,group_size,mean_contribution_distractor,mean_contribution_control,mean_interaction,absolute_interaction_threshold,n_pairs,n_primary_clusters,primary_ci_low,primary_ci_high,primary_p_unadjusted,primary_p_holm_adjusted,holm_reject_0_05,primary_ci_excludes_zero,n_connected_components,component_ci_low,component_ci_high,component_p_two_sided_sign_tail,component_ci_excludes_zero,direction,direction_stable,scientifically_interpretable,test_pass,criterion_b_pass,selected_refinement_path,physical_skip,decision_role
1,mrm1,1,1,-0.025588031535712052,0.002295931832016818,-0.027883963367728869,0.02,12,11,-0.056569693436362728,-0.00807008117216532,0.0013998600139986002,0.012598740125987402,true,true,9,-0.056923559634947808,-0.0075929622434032836,0.0019998000199980001,true,RELATIVE_UTILITY_LOWER_UNDER_DISTRACTOR_AMBIGUITY,true,true,true,true,true,false,PRIMARY_NINE_TEST_FAMILY
2,mrm2,2,1,0.0031154951161143922,0.005041339040142364,-0.0019258439240279715,0.02,12,11,-0.039017153289412264,0.033750315708207482,0.96050394960503949,1,false,false,9,-0.041834590137686825,0.03476164822307784,0.95490450954904504,false,RELATIVE_UTILITY_LOWER_UNDER_DISTRACTOR_AMBIGUITY,false,true,false,true,false,false,PRIMARY_NINE_TEST_FAMILY
3,mrm3,3,1,-0.011262669461378624,0.0019657703949498609,-0.013228439856328484,0.02,12,11,-0.043431610467148878,0.011435010222615137,0.36076392360763926,1,false,false,9,-0.046075751356187203,0.011279372203374577,0.35916408359164081,false,RELATIVE_UTILITY_LOWER_UNDER_DISTRACTOR_AMBIGUITY,false,true,false,true,false,false,PRIMARY_NINE_TEST_FAMILY
4,mrm4,4,1,-0.024870768134305169,0.0038288667684975857,-0.028699634902802754,0.02,12,11,-0.093255775279954822,0.016271124146161275,0.30576942305769422,1,false,false,9,-0.098125066511561665,0.01232434745533138,0.31356864313568644,false,RELATIVE_UTILITY_LOWER_UNDER_DISTRACTOR_AMBIGUITY,false,true,false,true,false,false,PRIMARY_NINE_TEST_FAMILY
5,mrm5,5,1,0.12947265669150892,0.19705515798407838,-0.067582501292569458,0.02,12,11,-0.18118317055445257,0.04443038218458923,0.23217678232176783,1,false,false,9,-0.16940527944141734,0.053408070321432181,0.25257474252574741,false,RELATIVE_UTILITY_LOWER_UNDER_DISTRACTOR_AMBIGUITY,false,true,false,true,false,false,PRIMARY_NINE_TEST_FAMILY
6,mrm6,6,1,0.0010447118157941497,0.024394368495081406,-0.023349656679287251,0.02,12,11,-0.1100348170617745,0.046327808593587538,0.58334166583341662,1,false,false,9,-0.11051935938240104,0.049108789030219736,0.57414258574142585,false,RELATIVE_UTILITY_LOWER_UNDER_DISTRACTOR_AMBIGUITY,false,true,false,true,false,false,PRIMARY_NINE_TEST_FAMILY
7,early,1;2,2,-0.006691201270411176,0.0029631369784992906,-0.009654338248910467,0.02,12,11,-0.041740203140319204,0.019439771201394181,0.54494550544945508,1,false,false,9,-0.042757507216740764,0.020911177475973319,0.54054594540545942,false,RELATIVE_UTILITY_LOWER_UNDER_DISTRACTOR_AMBIGUITY,false,true,false,true,false,false,PRIMARY_NINE_TEST_FAMILY
8,middle,3;4,2,-0.0055982518775890867,0.0023131231732159241,-0.007911375050805013,0.02,12,11,-0.064306526847993845,0.041601862036383726,0.82171782821717831,1,false,false,9,-0.06732564770659405,0.04086108253577337,0.81451854814518543,false,RELATIVE_UTILITY_LOWER_UNDER_DISTRACTOR_AMBIGUITY,false,true,false,true,false,false,PRIMARY_NINE_TEST_FAMILY
9,late,5;6,2,0.32875357247240777,0.41100148709337342,-0.082247914620965659,0.02,12,11,-0.26445978923955782,0.066815909402071147,0.31156884311568844,1,false,false,9,-0.24458749948926295,0.0866746009204621,0.35136486351364865,false,RELATIVE_UTILITY_LOWER_UNDER_DISTRACTOR_AMBIGUITY,false,true,false,true,false,false,PRIMARY_NINE_TEST_FAMILY
