analysis_family,sensitivity_dimension,sensitivity_group,selection_rule,metric_or_mode,effect_definition,n_pairs,pair_ids,estimate,n_primary_clusters,primary_ci_low,primary_ci_high,primary_p_two_sided_sign_tail,n_connected_components,component_ci_low,component_ci_high,component_p_two_sided_sign_tail,decision_role
CRITERION_B,final_ambiguity_level,AMBIGUITY_LEVEL_1,final_ambiguity_level=1,mrm1,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),8,R3-D02;R3-D05;R3-D07;R3-D08;R3-D09;R3-D10;R3-D11;R3-D12,-0.015741549016442185,8,-0.029825423716771163,-0.0015032662744871802,0.030396960303969604,7,-0.030014266073864305,0.0018081743085583458,0.090590940905909412,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,final_ambiguity_level,AMBIGUITY_LEVEL_1,final_ambiguity_level=1,mrm2,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),8,R3-D02;R3-D05;R3-D07;R3-D08;R3-D09;R3-D10;R3-D11;R3-D12,0.022360359731159928,8,-0.0059712204486261147,0.05622889512791511,0.14418558144185581,7,-0.011239436936138329,0.054608474733676311,0.18958104189581043,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,final_ambiguity_level,AMBIGUITY_LEVEL_1,final_ambiguity_level=1,mrm3,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),8,R3-D02;R3-D05;R3-D07;R3-D08;R3-D09;R3-D10;R3-D11;R3-D12,0.0034562260007710678,8,-0.013171383682357372,0.022572892990897389,0.72892710728927113,7,-0.014383395366051049,0.022916329234372094,0.72412758724127591,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,final_ambiguity_level,AMBIGUITY_LEVEL_1,final_ambiguity_level=1,mrm4,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),8,R3-D02;R3-D05;R3-D07;R3-D08;R3-D09;R3-D10;R3-D11;R3-D12,0.0036595444012453406,8,-0.017822350964391658,0.033479048714623219,0.8477152284771523,7,-0.018226268609046713,0.023270017821398616,0.81171882811718832,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,final_ambiguity_level,AMBIGUITY_LEVEL_1,final_ambiguity_level=1,mrm5,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),8,R3-D02;R3-D05;R3-D07;R3-D08;R3-D09;R3-D10;R3-D11;R3-D12,-0.031206629958957254,8,-0.16023072179484063,0.10473610286489021,0.64313568643135688,7,-0.13966542683863067,0.12773505275252386,0.67833216678332164,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,final_ambiguity_level,AMBIGUITY_LEVEL_1,final_ambiguity_level=1,mrm6,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),8,R3-D02;R3-D05;R3-D07;R3-D08;R3-D09;R3-D10;R3-D11;R3-D12,0.023756191794537983,8,-0.015981225439576651,0.083809606995354724,0.51294870512948709,7,-0.015263307481554595,0.095690374385871774,0.47295270472952705,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,final_ambiguity_level,AMBIGUITY_LEVEL_1,final_ambiguity_level=1,early,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),8,R3-D02;R3-D05;R3-D07;R3-D08;R3-D09;R3-D10;R3-D11;R3-D12,0.0083772522810617069,8,-0.011088844486705657,0.037039233152600923,0.6085391460853915,7,-0.010502038401833381,0.040353619150126453,0.58934106589341062,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,final_ambiguity_level,AMBIGUITY_LEVEL_1,final_ambiguity_level=1,middle,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),8,R3-D02;R3-D05;R3-D07;R3-D08;R3-D09;R3-D10;R3-D11;R3-D12,0.023858223254265752,8,-0.013183182646533724,0.070465473654132471,0.25857414258574141,7,-0.013259350156802031,0.067262191955678896,0.23157684231576842,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,final_ambiguity_level,AMBIGUITY_LEVEL_1,final_ambiguity_level=1,late,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),8,R3-D02;R3-D05;R3-D07;R3-D08;R3-D09;R3-D10;R3-D11;R3-D12,-0.057711423055868585,8,-0.23194805852541356,0.11381352815291147,0.52854714528547142,7,-0.22048121561599834,0.13175403627047536,0.54254574542545742,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_A,control_sequence_relation,SAME_SEQUENCE_CONTROL,primary_sequence=control_sequence,iou_weakness,mean_pair(control_mean_iou-primary_mean_iou),3,R3-D03;R3-D04;R3-D05,0.018108360870437212,2,0.0036055360040089246,0.025359773303651356,0.00019998000199980003,2,0.0036055360040089246,0.025359773303651356,0.00019998000199980003,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
