sequence,frame_index,mrm_id,ablation_control,retriever_latency_ms,mlp_latency_ms,total_mrm_compute_latency_ms,diagnostic_norm_fingerprint_overhead_ms,total_instrumented_mrm_latency_ms,physical_skip
Basketball,397,MRM1,none,9.583600010955706,3.348900005221367,13.268500013509765,28.35790000972338,41.62910001468845,False
Basketball,397,MRM2,none,6.902099994476885,1.746499998262152,8.910100004868582,1.3300999999046326,10.24230002076365,False
Basketball,397,MRM3,none,5.49229999887757,1.2971999822184443,7.046100014122203,0.9834999800659716,8.030700002564117,False
Basketball,397,MRM4,none,5.803000007290393,1.8860999844036996,7.886900013545528,0.9014999959617853,8.789800020167604,False
Basketball,397,MRM5,none,7.339000003412366,1.843199977884069,9.450599987758324,1.1921999976038933,10.644999973010272,False
Basketball,397,MRM6,none,9.623899997677654,2.6461999805178493,12.596400018082932,1.961299974936992,14.559400005964562,False
Basketball,398,MRM1,none,9.698400011984631,2.6276000135112554,12.603400013176724,1.5642999787814915,14.170300011755899,False
Basketball,398,MRM2,none,8.885799994459376,1.580699987243861,10.684300010325387,1.0245000012218952,11.71060002525337,False
Basketball,398,MRM3,none,6.456899980548769,1.9002000044565648,8.660399995278567,0.9257000056095421,9.588100016117096,False
Basketball,398,MRM4,none,8.214899979066104,1.8644999945536256,10.31790001434274,1.1292000126559287,11.44989999011159,False
Basketball,398,MRM5,none,9.036100003868341,1.4984000008553267,10.790999978780746,1.2481999874580652,12.041499983752146,False
Basketball,398,MRM6,none,6.393399991793558,1.626700017368421,8.25979997171089,1.2223999947309494,9.48509998852387,False
Basketball,399,MRM1,none,8.486399980029091,1.7538000247441232,10.497400013264269,1.2491000234149396,11.748199991416186,False
Basketball,399,MRM2,none,8.023800008231774,1.8307999998796731,10.102500003995374,1.1060999822802842,11.210500000743195,False
Basketball,399,MRM3,none,7.928600010927767,1.8238999764434993,9.995499975048006,1.0790000087581575,11.07649999903515,False
Basketball,399,MRM4,none,6.492699991213158,1.5421999851241708,8.237600006395951,1.0667000024113804,9.306399995693937,False
