match_type,match_value,left_record_id,right_record_id,reason
DEDUP_CLUSTER_REVIEW,S2:d57521c303c886dc42b366c844d8de9c8157b2b3,SpikeTrack:28:d57521c303c886dc42b366c844d8de9c8157b2b3,UNKNOWN,VISUAL_SOT_RELEVANCE_UNKNOWN
DEDUP_CLUSTER_REVIEW,S2:38bb6953420980dcde72afccd622447989478483,SpikeTrack:39:38bb6953420980dcde72afccd622447989478483,UNKNOWN,PUBLICATION_STATUS_UNKNOWN; PRIMARY_URL_UNKNOWN
POSSIBLE_PREPRINT_PUBLICATION_DUPLICATE,title_similarity=0.921; abstract_similarity=0.943,S2:d08d4172a380b917781cafe11a9060f4eec89138,S2:5cf588279fa2afc972956ba4c92c227694baa561,same_first_author=True; distinct strong IDs; not auto-merged; inspect primary records
