"source_paper_id","queried_doi","crossref_doi","crossref_type","published_year","canonical_title","container_title","volume","page","article_number","publisher","source_url","retrieved_utc"
"P052","10.1016/j.knosys.2024.111955","10.1016/j.knosys.2024.111955","journal-article","2024","Optimizing intrinsic representation for tracking","Knowledge-Based Systems","297","111955","111955","Elsevier BV","https://doi.org/10.1016/j.knosys.2024.111955","2026-08-30"
"P053","10.1109/iccv51070.2023.01870","10.1109/iccv51070.2023.01870","proceedings-article","2023","PlanarTrack: A Large-scale Challenging Benchmark for Planar Object Tracking","2023 IEEE/CVF International Conference on Computer Vision (ICCV)",,"20392-20401",,"IEEE","https://doi.org/10.1109/iccv51070.2023.01870","2026-08-30"
"P054","10.1109/tcsvt.2023.3294580","10.1109/tcsvt.2023.3294580","journal-article","2024","Positive-Sample-Free Object Tracking via a Soft Constraint","IEEE Transactions on Circuits and Systems for Video Technology","34","1364-1375",,"Institute of Electrical and Electronics Engineers (IEEE)","https://doi.org/10.1109/tcsvt.2023.3294580","2026-08-30"
"P055","10.3390/s24154802","10.3390/s24154802","journal-article","2024","Query-Based Object Visual Tracking with Parallel Sequence Generation","Sensors","24","4802",,"MDPI AG","https://doi.org/10.3390/s24154802","2026-08-30"
"P057","10.1109/iccv51070.2023.00879","10.1109/iccv51070.2023.00879","proceedings-article","2023","Robust Object Modeling for Visual Tracking","2023 IEEE/CVF International Conference on Computer Vision (ICCV)",,"9555-9566",,"IEEE","https://doi.org/10.1109/iccv51070.2023.00879","2026-08-30"
"P058","10.1145/3595916.3626410","10.1145/3595916.3626410","proceedings-article","2023","Robust Tracking via Unifying Pretrain-Finetuning and Visual Prompt Tuning","ACM Multimedia Asia 2023",,"1-7",,"ACM","https://doi.org/10.1145/3595916.3626410","2026-08-30"
"P060","10.1109/cvpr52729.2023.01400","10.1109/cvpr52729.2023.01400","proceedings-article","2023","SeqTrack: Sequence to Sequence Learning for Visual Object Tracking","2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)",,"14572-14581",,"IEEE","https://doi.org/10.1109/cvpr52729.2023.01400","2026-08-30"
"P061","10.1109/tcsvt.2025.3569633","10.1109/tcsvt.2025.3569633","journal-article","2025","Siamese Visual Tracking With Multi-Parallel Interactive Transformers","IEEE Transactions on Circuits and Systems for Video Technology","35","10353-10366",,"Institute of Electrical and Electronics Engineers (IEEE)","https://doi.org/10.1109/tcsvt.2025.3569633","2026-08-30"
"P062","10.1109/access.2024.3482468","10.1109/access.2024.3482468","journal-article","2024","Sparse Transformer-Based Sequence Generation for Visual Object Tracking","IEEE Access","12","154418-154425",,"Institute of Electrical and Electronics Engineers (IEEE)","https://doi.org/10.1109/access.2024.3482468","2026-08-30"
"P065","10.1109/nnice64954.2025.11063785","10.1109/nnice64954.2025.11063785","proceedings-article","2025","Transformer-Based Tracker Fusing Two-Dimensional Semantic Features","2025 5th International Conference on Neural Networks, Information and Communication Engineering (NNICE)",,"627-632",,"IEEE","https://doi.org/10.1109/nnice64954.2025.11063785","2026-08-30"
"P066","10.1109/icip46576.2022.9897717","10.1109/icip46576.2022.9897717","proceedings-article","2022","Transformer Visual Tracker Based on Template Features Corresponding to Foreground Region","2022 IEEE International Conference on Image Processing (ICIP)",,"1091-1095",,"IEEE","https://doi.org/10.1109/icip46576.2022.9897717","2026-08-30"
"P069","10.1109/tcsvt.2024.3486347","10.1109/tcsvt.2024.3486347","journal-article","2025","Unifying Motion and Appearance Cues for Visual Tracking via Shared Queries","IEEE Transactions on Circuits and Systems for Video Technology","35","1987-1998",,"Institute of Electrical and Electronics Engineers (IEEE)","https://doi.org/10.1109/tcsvt.2024.3486347","2026-08-30"
"P070","10.1109/CVPR52729.2023.02186","10.1109/cvpr52729.2023.02186","proceedings-article","2023","VideoTrack: Learning to Track Objects via Video Transformer","2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)",,"22826-22835",,"IEEE","https://doi.org/10.1109/cvpr52729.2023.02186","2026-08-30"
"P071","10.1016/j.neunet.2025.108197","10.1016/j.neunet.2025.108197","journal-article","2026","Visual tracking with unified relation modeling and masked appearance learning","Neural Networks","195","108197","108197","Elsevier BV","https://doi.org/10.1016/j.neunet.2025.108197","2026-08-30"
"P072","10.24963/ijcai.2025/215","10.24963/ijcai.2025/215","proceedings-article","2025","Wave-wise Discriminative Tracking by Phase-Amplitude Separation, Augmentation and Mixture","Proceedings of the Thirty-Fourth International Joint Conference on Artificial Intelligence",,"1927-1935",,"International Joint Conferences on Artificial Intelligence Organization","https://doi.org/10.24963/ijcai.2025/215","2026-08-30"
"P073","10.1109/tcsvt.2026.3662479","10.1109/tcsvt.2026.3662479","journal-article","2026","WmLSTM: A Plug-and-Play Window-Level mLSTM-Based Temporal Encoder for Robust Visual Tracking","IEEE Transactions on Circuits and Systems for Video Technology","36","9072-9086",,"Institute of Electrical and Electronics Engineers (IEEE)","https://doi.org/10.1109/tcsvt.2026.3662479","2026-08-30"
