archive_id,display_name,drive_file_id,drive_parent_folder_id,source_url,byte_size,sha256,transfer_status,new_transfer_bytes,mime_type,modified_time_utc,member_count,file_count,directory_count,txt_file_count,image_or_video_member_count,top_level_member_counts,complete_member_list_artifact,member_list_sha256,required_otb_members_present,claimed_variant,mapping_status
E1-RAW-001,spiketrack_b256_t1.zip,1mMY05kMEeWY_rGHlGkQOKRXTTy7UpKm6,1HNd8EdpHLf3Ly1leuDVQDOBsDg3uaSsq,https://drive.google.com/file/d/1mMY05kMEeWY_rGHlGkQOKRXTTy7UpKm6/view,17396075,c755bdcfbe2c3d050c82a23acdfdb595a98c548856abdb2def733f725268b005,DOWNLOADED_E1,17396075,application/zip,2026-02-25T08:53:00.160Z,4095,4088,7,4088,0,got10k:361;lasot:561;lasot_extension_subset:301;otb:201;tnl2k:1401;trackingnet:1023;uav:247,member_lists/canonical_4095.txt,23b2a598b97d7111230345447412eb8333fb067ac3e1f9d5563ca27c98567580,TRUE,OTHER_VARIANT_CONFIRMED,RAW_MAPPING_RESOLVED
E1-RAW-002,spiketrack_b256_t3.zip,1Ghv_94IPAJzjjn2PtOIGsC6v8HuixQ_z,1HNd8EdpHLf3Ly1leuDVQDOBsDg3uaSsq,https://drive.google.com/file/d/1Ghv_94IPAJzjjn2PtOIGsC6v8HuixQ_z/view,17876961,b841b2cdeb80dd1b534e3fbe32151a068434d363a8c082dedc5d6d8b9f50d398,DOWNLOADED_E1,17876961,application/zip,2026-02-25T08:53:04.546Z,4096,4088,8,4088,0,got10k:361;lasot:561;lasot_extension_subset:301;otb:201;tnl2k:1402;trackingnet:1023;uav:247,member_lists/b256_t3_4096.txt,df241bd7ce822ea31c0c34d6509e2f54131e0ea9215d6eaa778019cee01809bf,TRUE,OTHER_VARIANT_CONFIRMED,RAW_MAPPING_RESOLVED
E1-RAW-003,spiketrack_b384_t1.zip,1MrjAyf3uVrj1KdX6d0wnpCsECQZ6OKWf,1HNd8EdpHLf3Ly1leuDVQDOBsDg3uaSsq,https://drive.google.com/file/d/1MrjAyf3uVrj1KdX6d0wnpCsECQZ6OKWf/view,17678354,edd65d25f12d74daf76d2b382dd9dad661002e586c4ac0d87b8801faf1fe63ab,DOWNLOADED_E1,17678354,application/zip,2026-02-25T08:53:09.665Z,4095,4088,7,4088,0,got10k:361;lasot:561;lasot_extension_subset:301;otb:201;tnl2k:1401;trackingnet0314:1023;uav:247,member_lists/b384_t1_4095.txt,0d373843580c076cd76b790594753799ef52acc1c3e3d4df1945178380d4219d,TRUE,OTHER_VARIANT_CONFIRMED,RAW_MAPPING_RESOLVED
E1-RAW-004,spiketrack_b384_t3.zip,1Hf5CHN3WbBGBxQnmQ2kgU2fkRPPRUDVN,1HNd8EdpHLf3Ly1leuDVQDOBsDg3uaSsq,https://drive.google.com/file/d/1Hf5CHN3WbBGBxQnmQ2kgU2fkRPPRUDVN/view,17430510,5defd342695a4c9003e8503409bae8164b73986b09dbc7a94967cbfb42f5d514,DOWNLOADED_E1,17430510,application/zip,2026-02-25T08:53:13.738Z,4095,4088,7,4088,0,got10k:361;lasot:561;lasot_extension_subset:301;otb:201;tnl2k:1401;trackingnet:1023;uav:247,member_lists/canonical_4095.txt,23b2a598b97d7111230345447412eb8333fb067ac3e1f9d5563ca27c98567580,TRUE,OTHER_VARIANT_CONFIRMED,RAW_MAPPING_RESOLVED
E1-RAW-005,spiketrack_s256_t1.zip,1QAST-IzBr2rhAteZq_vc0GZszinIOxbD,1HNd8EdpHLf3Ly1leuDVQDOBsDg3uaSsq,https://drive.google.com/file/d/1QAST-IzBr2rhAteZq_vc0GZszinIOxbD/view,15632995,7e9f8e40d069f73a7b33edfc9593946af478caa3206670847ebde78cbc545c25,REUSED_PRIOR_EXACT_BYTES,0,application/zip,2026-02-25T08:53:17.507Z,4095,4088,7,4088,0,got10k:361;lasot:561;lasot_extension_subset:301;otb:201;tnl2k:1401;trackingnet:1023;uav:247,member_lists/canonical_4095.txt,23b2a598b97d7111230345447412eb8333fb067ac3e1f9d5563ca27c98567580,TRUE,S256_T1_CONFIRMED,RAW_MAPPING_RESOLVED
E1-RAW-006,spiketrack_s256_t3.zip,1J3i1ViwIHuHBieUPhnuMeVn_gPXjaYgP,1HNd8EdpHLf3Ly1leuDVQDOBsDg3uaSsq,https://drive.google.com/file/d/1J3i1ViwIHuHBieUPhnuMeVn_gPXjaYgP/view,17958764,0e4d23320769205e84e50937d3060002b048726d30cce6633619e45b059dc2a3,DOWNLOADED_E1,17958764,application/zip,2026-02-25T08:53:21.762Z,4095,4088,7,4088,0,got10k:361;lasot:561;lasot_extension_subset:301;otb:201;tnl2k:1401;trackingnet:1023;uav:247,member_lists/canonical_4095.txt,23b2a598b97d7111230345447412eb8333fb067ac3e1f9d5563ca27c98567580,TRUE,S256_T3_CONFIRMED,RAW_MAPPING_RESOLVED
