pair_id,side,sequence,condition,repetition,execution_order,interval_end_to_end_ms,tracked_frames,start_snapshot_sha256
R3-D08,control,CarScale,baseline,3,35,11760.065899994515,25,88585e705faccd268bf03be718fa40a7b59612a58a2eb88d7090ca633430a172
R3-D08,control,CarScale,whole_mrm1_physical_skip,3,36,7755.247100001725,25,88585e705faccd268bf03be718fa40a7b59612a58a2eb88d7090ca633430a172
R3-D12,control,Dancer,baseline,1,37,8155.000400001882,25,1de807ec9735ee5e7515fc0c6f8ca130b924637dbbbe2947682afe79771f5f91
R3-D12,control,Dancer,whole_mrm1_physical_skip,1,38,8711.70169999823,25,1de807ec9735ee5e7515fc0c6f8ca130b924637dbbbe2947682afe79771f5f91
R3-D12,control,Dancer,whole_mrm1_physical_skip,2,39,8678.641299993615,25,1de807ec9735ee5e7515fc0c6f8ca130b924637dbbbe2947682afe79771f5f91
R3-D12,control,Dancer,baseline,2,40,9680.811099999119,25,1de807ec9735ee5e7515fc0c6f8ca130b924637dbbbe2947682afe79771f5f91
R3-D12,control,Dancer,baseline,3,41,8793.375499997637,25,1de807ec9735ee5e7515fc0c6f8ca130b924637dbbbe2947682afe79771f5f91
R3-D12,control,Dancer,whole_mrm1_physical_skip,3,42,9647.566200001165,25,1de807ec9735ee5e7515fc0c6f8ca130b924637dbbbe2947682afe79771f5f91
R3-D07,control,David2,baseline,1,43,7755.123399998411,25,e5349c0c87ddf47529d0d9f7e1f057378ea6d61a5b06ace7c633e59c50adee57
R3-D07,control,David2,whole_mrm1_physical_skip,1,44,7491.148299995984,25,e5349c0c87ddf47529d0d9f7e1f057378ea6d61a5b06ace7c633e59c50adee57
R3-D07,control,David2,whole_mrm1_physical_skip,2,45,8113.114500003576,25,e5349c0c87ddf47529d0d9f7e1f057378ea6d61a5b06ace7c633e59c50adee57
R3-D07,control,David2,baseline,2,46,8319.005900004413,25,e5349c0c87ddf47529d0d9f7e1f057378ea6d61a5b06ace7c633e59c50adee57
R3-D07,control,David2,baseline,3,47,9109.350000006089,25,e5349c0c87ddf47529d0d9f7e1f057378ea6d61a5b06ace7c633e59c50adee57
R3-D07,control,David2,whole_mrm1_physical_skip,3,48,7147.51769999566,25,e5349c0c87ddf47529d0d9f7e1f057378ea6d61a5b06ace7c633e59c50adee57
R3-D11,control,David2,baseline,1,49,12839.205299998866,25,d76d6e8189b795fbaec11465a61b55b9b6bc78d1d5ce93d51573fe459758b745
R3-D11,control,David2,whole_mrm1_physical_skip,1,50,9016.568999999436,25,d76d6e8189b795fbaec11465a61b55b9b6bc78d1d5ce93d51573fe459758b745
R3-D11,control,David2,whole_mrm1_physical_skip,2,51,6738.145399998757,25,d76d6e8189b795fbaec11465a61b55b9b6bc78d1d5ce93d51573fe459758b745
R3-D11,control,David2,baseline,2,52,6535.252900001069,25,d76d6e8189b795fbaec11465a61b55b9b6bc78d1d5ce93d51573fe459758b745
R3-D11,control,David2,baseline,3,53,6524.995499996294,25,d76d6e8189b795fbaec11465a61b55b9b6bc78d1d5ce93d51573fe459758b745
R3-D11,control,David2,whole_mrm1_physical_skip,3,54,6198.244499995781,25,d76d6e8189b795fbaec11465a61b55b9b6bc78d1d5ce93d51573fe459758b745
R3-D01,control,David3,whole_mrm1_physical_skip,1,55,9276.09769999981,39,3026409a7cac8f9cebdb0ddd7a24d6997070eb1f6fece858ea7b1be50cdd9e24
R3-D01,control,David3,baseline,1,56,10584.56849999493,39,3026409a7cac8f9cebdb0ddd7a24d6997070eb1f6fece858ea7b1be50cdd9e24
R3-D01,control,David3,baseline,2,57,10236.96999999811,39,3026409a7cac8f9cebdb0ddd7a24d6997070eb1f6fece858ea7b1be50cdd9e24
R3-D01,control,David3,whole_mrm1_physical_skip,2,58,9714.597800004412,39,3026409a7cac8f9cebdb0ddd7a24d6997070eb1f6fece858ea7b1be50cdd9e24
R3-D01,control,David3,whole_mrm1_physical_skip,3,59,9870.10089999967,39,3026409a7cac8f9cebdb0ddd7a24d6997070eb1f6fece858ea7b1be50cdd9e24
R3-D01,control,David3,baseline,3,60,9886.293899995508,39,3026409a7cac8f9cebdb0ddd7a24d6997070eb1f6fece858ea7b1be50cdd9e24
R3-D11,primary,Freeman3,baseline,1,61,6176.819200001773,25,a5cf3f06253ed1694391d0d86174fe9fd63c6b91c0c0bee5396a80237f9f396e
R3-D11,primary,Freeman3,whole_mrm1_physical_skip,1,62,5541.21319999831,25,a5cf3f06253ed1694391d0d86174fe9fd63c6b91c0c0bee5396a80237f9f396e
R3-D11,primary,Freeman3,whole_mrm1_physical_skip,2,63,5895.089599995117,25,a5cf3f06253ed1694391d0d86174fe9fd63c6b91c0c0bee5396a80237f9f396e
R3-D11,primary,Freeman3,baseline,2,64,6027.431099995738,25,a5cf3f06253ed1694391d0d86174fe9fd63c6b91c0c0bee5396a80237f9f396e
R3-D11,primary,Freeman3,baseline,3,65,6814.673499997298,25,a5cf3f06253ed1694391d0d86174fe9fd63c6b91c0c0bee5396a80237f9f396e
R3-D11,primary,Freeman3,whole_mrm1_physical_skip,3,66,5899.708199998713,25,a5cf3f06253ed1694391d0d86174fe9fd63c6b91c0c0bee5396a80237f9f396e
R3-D09,control,Human7,whole_mrm1_physical_skip,1,67,5909.438800001226,25,814f15dbbbc3caa6c869762f26021cef41b3879a066eef4773c0798b120ea2b4
