pair_id,side,sequence,frame_index,condition,repetition,execution_order,model_forward_ms,peak_allocated_bytes,peak_reserved_bytes,batch_size,dtype,diagnostic_logging,record_call_counts,physical_skip
R3-D01,primary,Basketball,408,baseline,1,2,939.212099998258,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,409,baseline,1,2,685.8012000011513,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,410,baseline,1,2,679.7112000058405,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,411,baseline,1,2,485.80370000127004,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,412,baseline,1,2,447.2643999979482,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,413,baseline,1,2,374.8254999954952,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,414,baseline,1,2,490.3543000036734,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,415,baseline,1,2,445.29209999745945,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,416,baseline,1,2,488.5489999942365,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,417,baseline,1,2,902.9643999965629,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,418,baseline,1,2,1064.1275000016321,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,419,baseline,1,2,1018.0324999964796,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,420,baseline,1,2,1045.9238000039477,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,421,baseline,1,2,793.4114000017871,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,422,baseline,1,2,947.3262000028626,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,423,baseline,1,2,954.2354000004707,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,424,baseline,1,2,927.2936999986996,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,425,baseline,1,2,588.4173000013107,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,426,baseline,1,2,435.7245999999577,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,427,baseline,1,2,452.26589999947464,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,428,baseline,1,2,472.0443000041996,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,429,baseline,1,2,478.09589999815216,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,430,baseline,1,2,427.5832999992417,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,431,baseline,1,2,474.80409999843687,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,432,baseline,1,2,399.1305999952601,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,433,baseline,1,2,418.7071000051219,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,434,baseline,1,2,486.5864000021247,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,435,baseline,1,2,506.46940000297036,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,397,baseline,2,3,467.4366000035661,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,398,baseline,2,3,509.157000000414,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,399,baseline,2,3,444.10939999943366,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,400,baseline,2,3,480.34280000138097,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,401,baseline,2,3,405.6796000004397,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,402,baseline,2,3,420.7103000007919,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,403,baseline,2,3,439.5991999990656,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,404,baseline,2,3,562.2628999990411,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,405,baseline,2,3,632.5633999949787,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,406,baseline,2,3,637.065300004906,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,407,baseline,2,3,501.38870000228053,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,408,baseline,2,3,685.3325999982189,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,409,baseline,2,3,554.000799995265,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,410,baseline,2,3,405.7718999974895,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,411,baseline,2,3,438.85060000320664,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,412,baseline,2,3,743.5577999931411,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,413,baseline,2,3,726.8923000010545,140518912,165675008,1,torch.float32,False,False,False
