pair_id,side,sequence,frame_index,comparison,maximum_float_bbox_abs_diff,integer_bbox_exact,score_map_max_abs_diff,confidence_abs_diff,left_end_state_sha256,right_end_state_sha256,continuation_state_exact,tolerance,status
R3-D01,primary,Basketball,397,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,True,1e-06,PASS
R3-D01,primary,Basketball,398,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,True,1e-06,PASS
R3-D01,primary,Basketball,399,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,True,1e-06,PASS
R3-D01,primary,Basketball,400,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,True,1e-06,PASS
R3-D01,primary,Basketball,401,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,True,1e-06,PASS
R3-D01,primary,Basketball,402,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,True,1e-06,PASS
R3-D01,primary,Basketball,403,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,True,1e-06,PASS
R3-D01,primary,Basketball,404,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,True,1e-06,PASS
R3-D01,primary,Basketball,405,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,True,1e-06,PASS
R3-D01,primary,Basketball,406,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,True,1e-06,PASS
R3-D01,primary,Basketball,407,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,True,1e-06,PASS
R3-D01,primary,Basketball,408,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,True,1e-06,PASS
R3-D01,primary,Basketball,409,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,True,1e-06,PASS
R3-D01,primary,Basketball,410,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,True,1e-06,PASS
R3-D01,primary,Basketball,411,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,True,1e-06,PASS
R3-D01,primary,Basketball,412,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,True,1e-06,PASS
R3-D01,primary,Basketball,413,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,True,1e-06,PASS
R3-D01,primary,Basketball,414,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,True,1e-06,PASS
R3-D01,primary,Basketball,415,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,True,1e-06,PASS
R3-D01,primary,Basketball,416,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,True,1e-06,PASS
R3-D01,primary,Basketball,417,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,True,1e-06,PASS
R3-D01,primary,Basketball,418,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,True,1e-06,PASS
R3-D01,primary,Basketball,419,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,True,1e-06,PASS
R3-D01,primary,Basketball,420,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,True,1e-06,PASS
R3-D01,primary,Basketball,421,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,True,1e-06,PASS
R3-D01,primary,Basketball,422,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,True,1e-06,PASS
R3-D01,primary,Basketball,423,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,c16a4e3fce6669789a96055f8f8633b9e8db2d3d78dab3098c2af76446b176fb,True,1e-06,PASS
